100
#id; nome; familiaLinguistica; numFalantes; pricipalPais;
32; Amárico; Afro-asiática (semítica); 37.0000; Etiópia; 
33; Birmanês; Sino-tibetana; 36.0000; Mianmar; 
34; Oromo; Afro-asiática (cuxítica); 35.0000; Etiópia; 
35; Sundanês; Austronésia; 34.0000; Indonésia; 
36; Romeno; Indo-europeia (românica); 33.0000; Romênia; 
37; Hausa; Afro-asiática (chádica); 32.0000; Nigéria; 
38; Holandês; Indo-europeia (germânica); 31.0000; Países Baixos; 
39; Tailandês; Tái-Kadai; 30.0000; Tailândia; 
40; Sueco; Indo-europeia (germânica); 28.0000; Suécia; 
41; Nepalês; Indo-europeia (indo-ariana); 27.0000; Nepal; 
42; Cebuano; Austronésia; 26.0000; Filipinas; 
43; Tcheco; Indo-europeia (eslava); 25.0000; República Tcheca; 
44; Grego; Indo-europeia (helênica); 24.0000; Grécia; 
45; Azerbaijano; Turcomana; 23.0000; Azerbaijão; 
46; Húngaro; Uralica; 22.0000; Hungria; 
47; Canarês; Dravídica; 22.0000; Índia; 
48; Chinês Wu; Sino-tibetana; 21.0000; China; 
49; Zulú; Níger-Congo (bantu); 21.0000; África do Sul; 
50; Dinamarquês; Indo-europeia (germânica); 20.0000; Dinamarca; 
51; Norueguês; Indo-europeia (germânica); 18.0000; Noruega; 
52; Eslovaco; Indo-europeia (eslava); 17.0000; Eslováquia; 
53; Sérvio; Indo-europeia (eslava); 16.0000; Sérvia; 
54; Croata; Indo-europeia (eslava); 15.0000; Croácia; 
55; Búlgaro; Indo-europeia (eslava); 14.0000; Bulgária; 
56; Cazaque; Turcomana; 13.0000; Cazaquistão; 
57; Hebraico; Afro-asiática (semítica); 12.0000; Israel; 
58; Esloveno; Indo-europeia (eslava); 12.0000; Eslovênia; 
59; Lituano; Indo-europeia (báltica); 11.0000; Lituânia; 
60; Letão; Indo-europeia (báltica); 11.0000; Letônia; 
61; Basco; Isolado; 1.0000; Espanha; 
62; Islandês; Indo-europeia (germânica); 0.9000; Islândia; 
63; Gaélico Escocês; Celta; 0.6000; Reino Unido; 
64; Irlandês; Celta; 0.9000; Irlanda; 
65; Malgaxe; Austronésia; 25.0000; Madagascar; 
66; Xhosa; Níger-Congo (bantu); 10.0000; África do Sul; 
67; Africâner; Indo-europeia (germânica); 7.0000; África do Sul; 
68; Somali; Afro-asiática (cuxítica); 13.0000; Somália; 
69; Tigrínia; Afro-asiática (semítica); 9.0000; Eritreia; 
70; Pashto; Indo-europeia (iraniana); 38.0000; Afeganistão; 
71; Curdo; Indo-europeia (iraniana); 35.0000; Turquia; 
72; Sindhi; Indo-europeia (indo-ariana); 25.0000; Paquistão; 
73; Assamês; Indo-europeia (indo-ariana); 23.0000; Índia; 
74; Malaiala; Dravídica; 37.0000; Índia; 
75; Lao; Tái-Kadai; 7.2000; Laos; 
76; Khmer; Austro-asiática; 16.0000; Camboja; 
77; Galês; Celta; 0.8700; Reino Unido; 
78; Luxemburguês; Indo-europeia (germânica); 0.6500; Luxemburgo; 
79; Macedônio; Indo-europeia (eslava); 1.2000; Macedônia do Norte; 
80; Armênio; Indo-europeia (armênia); 6.0000; Armênia; 
81; Georgiano; Kartveliana; 3.7000; Geórgia; 
82; Mongol; Mongólica; 3.0000; Mongólia; 
83; Quíchua; Quechua; 8.0000; Peru; 
84; Aimará; Aimarana; 2.0000; Bolívia; 
85; Guarani; Tupí-Guaraní; 5.0000; Paraguai; 
86; Navajo; Na-Dené; 0.1500; Estados Unidos; 
87; Maori; Austronésia; 0.7000; Nova Zelândia; 
88; Havaiano; Austronésia; 0.0240; Estados Unidos; 
89; Inuíta (Inuktitut); Eskimó-Aleúte; 0.0650; Canadá; 
90; Samoano; Austronésia; 0.5000; Samoa; 
91; Tonganês; Austronésia; 0.1500; Tonga; 
92; Fiji; Austronésia; 0.8000; Fiji; 
93; Esperanto; Planejada artificial; 2.0000; Internacional; 
94; Latim; Indo-europeia (românica); 0.0000; Vaticano; 
95; Galego; Indo-europeia (românica); 2.4000; Espanha; 
96; Catalão; Indo-europeia (românica); 9.7000; Espanha; 
97; Bretão; Celta; 0.2000; França; 
98; Occitano; Indo-europeia (românica); 1.5000; França; 
99; Frísio; Indo-europeia (germânica); 0.5000; Países Baixos; 
100; Tibetano; Sino-tibetana; 6.0000; China; 
